TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
423	1	424006	424011	10.1.2.2	10.1.1.1	6	5	0	0
424	1	425005	425010	10.1.2.2	10.1.1.1	6	5	0	0
425	1	426008	426013	10.1.2.2	10.1.1.1	6	5	0	0
426	1	427006	427011	10.1.2.2	10.1.1.1	6	5	0	0
427	1	428005	428010	10.1.2.2	10.1.1.1	6	5	0	0
428	1	429008	429013	10.1.2.2	10.1.1.1	6	5	0	0
429	1	430006	430011	10.1.2.2	10.1.1.1	6	5	0	0
430	1	431005	431010	10.1.2.2	10.1.1.1	6	5	0	0
431	1	432008	432013	10.1.2.2	10.1.1.1	6	5	0	0
432	1	433006	433011	10.1.2.2	10.1.1.1	6	5	0	0
433	1	434005	434010	10.1.2.2	10.1.1.1	6	5	0	0
434	1	435008	435013	10.1.2.2	10.1.1.1	6	5	0	0
435	1	436006	436011	10.1.2.2	10.1.1.1	6	5	0	0
436	1	437005	437010	10.1.2.2	10.1.1.1	6	5	0	0
437	1	438008	438013	10.1.2.2	10.1.1.1	6	5	0	0
438	1	439006	439011	10.1.2.2	10.1.1.1	6	5	0	0
439	1	440005	440010	10.1.2.2	10.1.1.1	6	5	0	0
440	1	441008	441013	10.1.2.2	10.1.1.1	6	5	0	0
441	1	442006	442011	10.1.2.2	10.1.1.1	6	5	0	0
442	1	443005	443010	10.1.2.2	10.1.1.1	6	5	0	0
443	1	444008	444013	10.1.2.2	10.1.1.1	6	5	0	0
444	1	445006	445011	10.1.2.2	10.1.1.1	6	5	0	0
445	1	446005	446010	10.1.2.2	10.1.1.1	6	5	0	0
446	1	447008	447013	10.1.2.2	10.1.1.1	6	5	0	0
447	1	448006	448011	10.1.2.2	10.1.1.1	6	5	0	0
448	1	449005	449014	10.1.2.2	10.1.3.1	6	9	0	0
449	1	450008	450013	10.1.2.2	10.1.1.1	6	5	0	0
450	1	451006	451011	10.1.2.2	10.1.1.1	6	5	0	0
451	1	452005	452010	10.1.2.2	10.1.1.1	6	5	0	0
452	1	453008	453013	10.1.2.2	10.1.1.1	6	5	0	0
453	1	454006	454011	10.1.2.2	10.1.1.1	6	5	0	0
454	1	455005	455010	10.1.2.2	10.1.1.1	6	5	0	0
455	1	456008	456018	10.1.2.2	10.1.3.1	6	10	0	0
456	1	457006	457011	10.1.2.2	10.1.1.1	6	5	0	0
457	1	458005	458010	10.1.2.2	10.1.1.1	6	5	0	0
458	1	459008	459013	10.1.2.2	10.1.1.1	6	5	0	0
459	1	460006	460011	10.1.2.2	10.1.1.1	6	5	0	0
460	1	461005	461010	10.1.2.2	10.1.1.1	6	5	0	0
461	1	462008	462013	10.1.2.2	10.1.1.1	6	5	0	0
462	1	463006	463011	10.1.2.2	10.1.1.1	6	5	0	0
463	1	464005	464010	10.1.2.2	10.1.1.1	6	5	0	0
464	1	465008	465013	10.1.2.2	10.1.1.1	6	5	0	0
465	1	466006	466011	10.1.2.2	10.1.1.1	6	5	0	0
466	1	467005	467010	10.1.2.2	10.1.1.1	6	5	0	0
467	1	468008	468013	10.1.2.2	10.1.1.1	6	5	0	0
468	1	469006	469011	10.1.2.2	10.1.1.1	6	5	0	0
469	1	470005	470010	10.1.2.2	10.1.1.1	6	5	0	0
470	1	471008	471013	10.1.2.2	10.1.1.1	6	5	0	0
471	1	472006	472011	10.1.2.2	10.1.1.1	6	5	0	0
472	1	473005	473010	10.1.2.2	10.1.1.1	6	5	0	0
473	1	474008	474013	10.1.2.2	10.1.1.1	6	5	0	0
474	1	475006	475016	10.1.2.2	10.1.3.1	6	10	0	0
475	1	476005	476010	10.1.2.2	10.1.1.1	6	5	0	0
476	1	477008	477018	10.1.2.2	10.1.5.1	6	10	0	0
477	1	478006	478011	10.1.2.2	10.1.1.1	6	5	0	0
478	1	479005	479010	10.1.2.2	10.1.1.1	6	5	0	0
479	1	480008	480013	10.1.2.2	10.1.1.1	6	5	0	0
480	1	481006	481011	10.1.2.2	10.1.1.1	6	5	0	0
481	1	482005	482010	10.1.2.2	10.1.1.1	6	5	0	0
482	1	483008	483013	10.1.2.2	10.1.1.1	6	5	0	0
483	1	484006	484011	10.1.2.2	10.1.1.1	6	5	0	0
484	1	485005	485010	10.1.2.2	10.1.1.1	6	5	0	0
485	1	486008	486013	10.1.2.2	10.1.1.1	6	5	0	0
486	1	487006	487011	10.1.2.2	10.1.1.1	6	5	0	0
487	1	488005	488014	10.1.2.2	10.1.3.1	6	9	0	0
488	1	489008	489013	10.1.2.2	10.1.1.1	6	5	0	0
489	1	490006	490011	10.1.2.2	10.1.1.1	6	5	0	0
490	1	491005	491010	10.1.2.2	10.1.1.1	6	5	0	0
491	1	492008	492013	10.1.2.2	10.1.1.1	6	5	0	0
492	1	493006	493011	10.1.2.2	10.1.1.1	6	5	0	0
493	1	494005	494010	10.1.2.2	10.1.1.1	6	5	0	0
494	1	495008	495013	10.1.2.2	10.1.1.1	6	5	0	0
495	1	496006	496011	10.1.2.2	10.1.1.1	6	5	0	0
496	1	497005	497010	10.1.2.2	10.1.1.1	6	5	0	0
497	1	498008	498013	10.1.2.2	10.1.1.1	6	5	0	0
498	1	499006	499011	10.1.2.2	10.1.1.1	6	5	0	0
499	1	500005	500010	10.1.2.2	10.1.1.1	6	5	0	0
500	1	501008	501013	10.1.2.2	10.1.1.1	6	5	0	0
501	1	502006	502011	10.1.2.2	10.1.1.1	6	5	0	0
502	1	503005	503010	10.1.2.2	10.1.1.1	6	5	0	0
503	1	504008	504013	10.1.2.2	10.1.1.1	6	5	0	0
504	1	505006	505016	10.1.2.2	10.1.5.1	6	10	0	0
505	1	506005	506010	10.1.2.2	10.1.1.1	6	5	0	0
506	1	507008	507013	10.1.2.2	10.1.1.1	6	5	0	0
507	1	508006	508011	10.1.2.2	10.1.1.1	6	5	0	0
508	1	509005	509010	10.1.2.2	10.1.1.1	6	5	0	0
509	1	510008	510013	10.1.2.2	10.1.1.1	6	5	0	0
510	1	511006	511011	10.1.2.2	10.1.1.1	6	5	0	0
511	1	512005	512010	10.1.2.2	10.1.1.1	6	5	0	0
512	1	513008	513013	10.1.2.2	10.1.1.1	6	5	0	0
513	1	514006	514011	10.1.2.2	10.1.1.1	6	5	0	0
514	1	515005	515010	10.1.2.2	10.1.1.1	6	5	0	0
515	1	516008	516013	10.1.2.2	10.1.1.1	6	5	0	0
516	1	517006	517016	10.1.2.2	10.1.5.1	6	10	0	0
517	1	518005	518010	10.1.2.2	10.1.1.1	6	5	0	0
518	1	519008	519013	10.1.2.2	10.1.1.1	6	5	0	0
519	1	520006	520011	10.1.2.2	10.1.1.1	6	5	0	0
520	1	521005	521014	10.1.2.2	10.1.3.1	6	9	0	0
521	1	522008	522013	10.1.2.2	10.1.1.1	6	5	0	0
522	1	523006	523011	10.1.2.2	10.1.1.1	6	5	0	0
523	1	524005	524010	10.1.2.2	10.1.1.1	6	5	0	0
524	1	525008	525013	10.1.2.2	10.1.1.1	6	5	0	0
525	1	526006	526016	10.1.2.2	10.1.5.1	6	10	0	0
526	1	527005	527010	10.1.2.2	10.1.1.1	6	5	0	0
527	1	528008	528013	10.1.2.2	10.1.1.1	6	5	0	0
528	1	529006	529011	10.1.2.2	10.1.1.1	6	5	0	0
529	1	530005	530010	10.1.2.2	10.1.1.1	6	5	0	0
530	1	531008	531013	10.1.2.2	10.1.1.1	6	5	0	0
531	1	532006	532011	10.1.2.2	10.1.1.1	6	5	0	0
532	1	533005	533010	10.1.2.2	10.1.1.1	6	5	0	0
533	1	534008	534013	10.1.2.2	10.1.1.1	6	5	0	0
534	1	535006	535011	10.1.2.2	10.1.1.1	6	5	0	0
535	1	536005	536010	10.1.2.2	10.1.1.1	6	5	0	0
536	1	537008	537013	10.1.2.2	10.1.1.1	6	5	0	0
537	1	538006	538011	10.1.2.2	10.1.1.1	6	5	0	0
538	1	539005	539010	10.1.2.2	10.1.1.1	6	5	0	0
539	1	540008	540013	10.1.2.2	10.1.1.1	6	5	0	0
540	1	541006	541011	10.1.2.2	10.1.1.1	6	5	0	0
541	1	542005	542010	10.1.2.2	10.1.1.1	6	5	0	0
542	1	543008	543013	10.1.2.2	10.1.1.1	6	5	0	0
543	1	544006	544011	10.1.2.2	10.1.1.1	6	5	0	0
544	1	545005	545010	10.1.2.2	10.1.1.1	6	5	0	0
545	1	546008	546013	10.1.2.2	10.1.1.1	6	5	0	0
546	1	547006	547011	10.1.2.2	10.1.1.1	6	5	0	0
547	1	548005	548010	10.1.2.2	10.1.1.1	6	5	0	0
548	1	549008	549018	10.1.2.2	10.1.5.1	6	10	0	0
549	1	550006	550011	10.1.2.2	10.1.1.1	6	5	0	0
550	1	551005	551010	10.1.2.2	10.1.1.1	6	5	0	0
551	1	552008	552013	10.1.2.2	10.1.1.1	6	5	0	0
552	1	553006	553011	10.1.2.2	10.1.1.1	6	5	0	0
553	1	554005	554010	10.1.2.2	10.1.1.1	6	5	0	0
554	1	555008	555018	10.1.2.2	10.1.5.1	6	10	0	0
555	1	556006	556011	10.1.2.2	10.1.1.1	6	5	0	0
556	1	557005	557010	10.1.2.2	10.1.1.1	6	5	0	0
557	1	558008	558013	10.1.2.2	10.1.1.1	6	5	0	0
558	1	559006	559011	10.1.2.2	10.1.1.1	6	5	0	0
559	1	560005	560010	10.1.2.2	10.1.1.1	6	5	0	0
560	1	561008	561013	10.1.2.2	10.1.1.1	6	5	0	0
561	1	562006	562011	10.1.2.2	10.1.1.1	6	5	0	0
562	1	563005	563010	10.1.2.2	10.1.1.1	6	5	0	0
563	1	564008	564013	10.1.2.2	10.1.1.1	6	5	0	0
564	1	565006	565011	10.1.2.2	10.1.1.1	6	5	0	0
565	1	566005	566010	10.1.2.2	10.1.1.1	6	5	0	0
566	1	567008	567013	10.1.2.2	10.1.1.1	6	5	0	0
567	1	568006	568011	10.1.2.2	10.1.1.1	6	5	0	0
568	1	569005	569010	10.1.2.2	10.1.1.1	6	5	0	0
569	1	570008	570013	10.1.2.2	10.1.1.1	6	5	0	0
570	1	571006	571011	10.1.2.2	10.1.1.1	6	5	0	0
571	1	572005	572010	10.1.2.2	10.1.1.1	6	5	0	0
572	1	573008	573018	10.1.2.2	10.1.3.1	6	10	0	0
573	1	574006	574011	10.1.2.2	10.1.1.1	6	5	0	0
574	1	575005	575010	10.1.2.2	10.1.1.1	6	5	0	0
575	1	576008	576013	10.1.2.2	10.1.1.1	6	5	0	0
576	1	577006	577011	10.1.2.2	10.1.1.1	6	5	0	0
577	1	578005	578010	10.1.2.2	10.1.1.1	6	5	0	0
578	1	579008	579013	10.1.2.2	10.1.1.1	6	5	0	0
