TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
508	0	509004	509012	10.1.1.2	10.1.5.1	6	8	0	0
509	0	510004	510013	10.1.1.2	10.1.5.1	6	9	0	0
510	0	511004	511004	10.1.1.2	10.1.1.1	6	0	0	0
511	0	512004	512012	10.1.1.2	10.1.3.1	6	8	0	0
512	0	513004	513005	10.1.1.2	10.1.1.1	6	1	0	0
513	0	514004	514004	10.1.1.2	10.1.1.1	6	0	0	0
514	0	515004	515004	10.1.1.2	10.1.1.1	6	0	0	0
515	0	516005	516014	10.1.1.2	10.1.3.1	6	9	0	0
516	0	517004	517013	10.1.1.2	10.1.3.1	6	9	0	0
517	0	518004	518012	10.1.1.2	10.1.5.1	6	8	0	0
518	0	519004	519004	10.1.1.2	10.1.1.1	6	0	0	0
519	0	520004	520013	10.1.1.2	10.1.3.1	6	9	0	0
520	0	521004	521012	10.1.1.2	10.1.5.1	6	8	0	0
521	0	522004	522012	10.1.1.2	10.1.5.1	6	8	0	0
522	0	523004	523004	10.1.1.2	10.1.1.1	6	0	0	0
523	0	524004	524013	10.1.1.2	10.1.5.1	6	9	0	0
524	0	525004	525013	10.1.1.2	10.1.5.1	6	9	0	0
525	0	526004	526005	10.1.1.2	10.1.1.1	6	1	0	0
526	0	527004	527012	10.1.1.2	10.1.3.1	6	8	0	0
527	0	528004	528004	10.1.1.2	10.1.1.1	6	0	0	0
528	0	529004	529012	10.1.1.2	10.1.5.1	6	8	0	0
529	0	530004	530013	10.1.1.2	10.1.5.1	6	9	0	0
530	0	531004	531012	10.1.1.2	10.1.5.1	6	8	0	0
531	0	532004	532004	10.1.1.2	10.1.1.1	6	0	0	0
532	0	533004	533012	10.1.1.2	10.1.3.1	6	8	0	0
533	0	534004	534012	10.1.1.2	10.1.5.1	6	8	0	0
534	0	535004	535013	10.1.1.2	10.1.5.1	6	9	0	0
535	0	536004	536012	10.1.1.2	10.1.5.1	6	8	0	0
536	0	537004	537004	10.1.1.2	10.1.1.1	6	0	0	0
537	0	538004	538012	10.1.1.2	10.1.3.1	6	8	0	0
538	0	539004	539012	10.1.1.2	10.1.3.1	6	8	0	0
539	0	540004	540012	10.1.1.2	10.1.3.1	6	8	0	0
540	0	541004	541004	10.1.1.2	10.1.1.1	6	0	0	0
541	0	542004	542012	10.1.1.2	10.1.3.1	6	8	0	0
542	0	543004	543012	10.1.1.2	10.1.5.1	6	8	0	0
543	0	544004	544005	10.1.1.2	10.1.1.1	6	1	0	0
544	0	545004	545012	10.1.1.2	10.1.5.1	6	8	0	0
545	0	546004	546004	10.1.1.2	10.1.1.1	6	0	0	0
546	0	547004	547012	10.1.1.2	10.1.5.1	6	8	0	0
547	0	548004	548012	10.1.1.2	10.1.5.1	6	8	0	0
548	0	549004	549012	10.1.1.2	10.1.3.1	6	8	0	0
549	0	550004	550013	10.1.1.2	10.1.5.1	6	9	0	0
550	0	551004	551004	10.1.1.2	10.1.1.1	6	0	0	0
551	0	552004	552012	10.1.1.2	10.1.5.1	6	8	0	0
552	0	553004	553013	10.1.1.2	10.1.3.1	6	9	0	0
553	0	554004	554004	10.1.1.2	10.1.1.1	6	0	0	0
554	0	555004	555013	10.1.1.2	10.1.3.1	6	9	0	0
555	0	556004	556012	10.1.1.2	10.1.3.1	6	8	0	0
556	0	557004	557012	10.1.1.2	10.1.3.1	6	8	0	0
557	0	558004	558012	10.1.1.2	10.1.3.1	6	8	0	0
558	0	559004	559012	10.1.1.2	10.1.5.1	6	8	0	0
559	0	560004	560013	10.1.1.2	10.1.3.1	6	9	0	0
560	0	561004	561005	10.1.1.2	10.1.1.1	6	1	0	0
561	0	562004	562005	10.1.1.2	10.1.1.1	6	1	0	0
